version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;id8;ns1:name9;id10;ns1:name11;ns1:location;ns1:latitude;ns1:longitude;ns1:notes;id12;ns1:name13;ns1:o2;ns1:he;id14;id15;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref16;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ref17;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.19;160;;19386000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.16;180;;19304000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.49;200;;19239000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.6;220;;19190000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.62;240;;19161000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.85;260;;19128000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.52;280;;19053000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.72;300;;19026000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.23;320;;18907000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;1.28;333;;;;surface;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;0.77;340;;18898000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.71;360;;18830000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.27;380;;18733000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.01;400;;18692000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.57;420;;18624000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.75;440;;18591000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.54;460;;18576000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.38;480;;18500000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.75;500;;18424000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.89;520;;18390000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.46;540;;18326000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.67;560;;18275000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.72;580;;18207000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.73;600;;18156000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm163612832;AS;allbase;Subsurface Divebase;1c6f1b2a;Särkijärvi, Multisilta, Tampere;Särkijärvi, Multisilta, Tampere;61.440997;23.768331;Ei siellä valtavasti asioita näkynyt, mutta kyllä uudestaan voisi;mix(21/0);air;0.21;0;idm392377936;idm392377936;;;;;mix(21/0);15;19956000;10041000;2.75;620;;18130000;;;9.26;4.097;3400;Oli se sukellus. Ei erityisen hyvä, mutta hyvää reeniä. Kuivis floodasi;4;;
