version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;id8;ns1:name9;id10;ns1:name11;ns1:location;ns1:latitude;ns1:longitude;id12;ns1:name13;ns1:o2;ns1:he;id14;id15;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref16;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ref17;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;2.6;140;;19321000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;2.93;160;;19259000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;3.01;180;;19181000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;3.82;200;;19104000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;4.46;220;;19077000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;4.65;240;;19017000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;4.53;260;;18954000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;4.96;280;;18915000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.17;300;;18873000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.34;320;;18797000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.73;340;;18746000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.5;360;;18693000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.82;380;;18616000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;4.77;400;;18544000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.24;420;;18452000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idp981981328;Cristian;allbase;Subsurface Divebase;1c6f1b29;Kaukajärvi, Riihiniemi;Kaukajärvi, Riihiniemi;61.472523;23.894749;mix(21/0);air;0.21;0;idp1048837056;idp1048837056;;;;;mix(21/0);15;19812000;9152000;5.22;440;;18399000;;;12.69;7.237;2800;"Kirkasta oli. Vähän kylmää 5 mm märkkärillä. Paljon rapuja.

Tässä oli käännyttävä takaisin kylmyyden takia.";8;;
