version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ref18;ns1:tankpressure;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;2.47;200;;18710000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;2.62;220;;18660000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;2.57;240;;18610000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;2.31;260;;18560000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;2.59;280;;18480000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;3.89;300;;18450000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;6.97;320;;18350000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.1;340;;18200000;289.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.12;360;;18020000;288.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.17;380;;17920000;287.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.07;400;;17740000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.53;420;;17580000;286.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.44;440;;17400000;287.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.72;460;;17300000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.96;480;;17250000;286.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.41;500;;17100000;285.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.54;520;;16890000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.07;540;;16740000;;18.89;8.327;2980;;;;
