version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;5.17;280;291.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;4.36;300;290.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;5.95;320;;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;7.01;340;286.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;6.32;360;283.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;7.81;380;;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;6.96;400;282.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;7.48;420;;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;8.17;440;281.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;7a378f7c;Suunto D6i;Suunto D6i;idm1048531792;Dive buddy;Senior;allbase;Subsurface Divebase;1c6f1b24;Kaukajärvi, Bandidosin ranta;Kaukajärvi, Bandidosin ranta;61.475379;23.905612;mix21;21/0;0.21;0;idm1266807968;idm1266807968;;;;;mix21;15;20000000;14000000;;8.16;460;280.15;11.23;6.408;1620;Ohhoh, olipa kyntämistä. Näyvyys kamala ja DB puku päästi kaikki ilmat. Ihan hauskaa oli silti;6;;
