version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:depth;ns1:divetime;ns1:tankpressure;ns1:temperature;ns1:alarm;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.12;340;19022000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.78;360;18975000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.89;380;18907000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.94;400;18847000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.45;420;18766000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;3.58;440;18719000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;5.31;460;18646000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.94;480;18566000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.18;500;18491000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;owner;;;88ef1a64;Suunto Vyper Air;Suunto Vyper Air;idm1151699152;DiveBuddy;S;allbase;Subsurface Divebase;1c6f1b2b;Ruutana, Orivesi;Ruutana, Orivesi;61.800378;24.639888;mix21;21/0;0.21;0;idm1262880640;idm1262880640;;;;;mix21;15;20081000;9069000;4.36;520;18420000;;;6.43;4.191;3460;Aivan mainioita sukelluksia. Pintavesi oli lämpimämpää kuin ilma pinnalla ja näkyvyys oikein hyvä. Ekassa sukelluksessa videokuvasin ja toisessa räpsin valokuvia ihan vimmalla.;10;;
